Simbolo;Unidad;Valor;Fuente;Tabla
TmedP;s;0,020;F19044-08-02-03-02-02-R2;Tabla 63
TmedW;s;0,020;F19044-08-02-03-02-02-R2;Tabla 63
bp;pu/pu;0,080;F19044-08-02-03-02-02-R2;Tabla 63
bt;pu/pu;0,400;F19044-08-02-03-02-02-R2;Tabla 63
Td;s;4,000;F19044-08-02-03-02-02-R2;Tabla 63
Tn;s;0,2;F19044-08-02-03-02-02-R2;Tabla 63
Kw;—;80,000;F19044-08-02-03-02-02-R2;Tabla 63
Bmuerta;pu;0,0005;F19044-08-02-03-02-02-R2;Tabla 63
YLim;pu;1,000;F19044-08-02-03-02-02-R2;Tabla 63
Array_K(X=-0,031);pu;0,000;F19044-08-02-03-02-02-R2;Tabla 64
Array_K(X=0,004);pu;0,026;F19044-08-02-03-02-02-R2;Tabla 64
Array_K(X=0,039);pu;0,051;F19044-08-02-03-02-02-R2;Tabla 64
Array_K(X=0,11);pu;0,101;F19044-08-02-03-02-02-R2;Tabla 64
Array_K(X=0,181);pu;0,154;F19044-08-02-03-02-02-R2;Tabla 64
Array_K(X=0,249);pu;0,206;F19044-08-02-03-02-02-R2;Tabla 64
Array_K(X=0,306);pu;0,253;F19044-08-02-03-02-02-R2;Tabla 64
Array_K(X=0,363);pu;0,301;F19044-08-02-03-02-02-R2;Tabla 64
Array_K(X=0,421);pu;0,352;F19044-08-02-03-02-02-R2;Tabla 64
Array_K(X=0,476);pu;0,406;F19044-08-02-03-02-02-R2;Tabla 64
Array_K(X=0,529);pu;0,457;F19044-08-02-03-02-02-R2;Tabla 64
Array_K(X=0,579);pu;0,508;F19044-08-02-03-02-02-R2;Tabla 64
Array_K(X=0,622);pu;0,558;F19044-08-02-03-02-02-R2;Tabla 64
Array_K(X=0,663);pu;0,605;F19044-08-02-03-02-02-R2;Tabla 64
Array_K(X=0,697);pu;0,651;F19044-08-02-03-02-02-R2;Tabla 64
Array_K(X=0,732);pu;0,701;F19044-08-02-03-02-02-R2;Tabla 64
Array_K(X=0,767);pu;0,753;F19044-08-02-03-02-02-R2;Tabla 64
Array_K(X=0,798);pu;0,804;F19044-08-02-03-02-02-R2;Tabla 64
Array_K(X=0,825);pu;0,851;F19044-08-02-03-02-02-R2;Tabla 64
Array_K(X=0,849);pu;0,9;F19044-08-02-03-02-02-R2;Tabla 64
Array_K(X=0,875);pu;0,95;F19044-08-02-03-02-02-R2;Tabla 64
Array_K(X=0,896);pu;0,999;F19044-08-02-03-02-02-R2;Tabla 64
KH3;—;1,8;F19044-08-02-03-02-02-R2;Tabla 65
TVP2;s;0,020;F19044-08-02-03-02-02-R2;Tabla 65
KH1;—;1,6;F19044-08-02-03-02-02-R2;Tabla 65
TVP1;s;0,020;F19044-08-02-03-02-02-R2;Tabla 65
KH2;—;1,6;F19044-08-02-03-02-02-R2;Tabla 65
Quebra;pu;0,56;F19044-08-02-03-02-02-R2;Tabla 65
TXFEXY2;pu/s;-0,9;F19044-08-02-03-02-02-R2;Tabla 65
TXFEXY1;pu/s;-0,052;F19044-08-02-03-02-02-R2;Tabla 65
TXFEXY12;pu/s;-0,052;F19044-08-02-03-02-02-R2;Tabla 65
POSMIN2;pu;0,0001;F19044-08-02-03-02-02-R2;Tabla 65
POSMIN1;pu;0,0001;F19044-08-02-03-02-02-R2;Tabla 65
TXABY2;pu/s;0,9;F19044-08-02-03-02-02-R2;Tabla 65
TXABY1;pu/s;0,6;F19044-08-02-03-02-02-R2;Tabla 65
TXABY12;pu/s;0,8;F19044-08-02-03-02-02-R2;Tabla 65
POSMAX2;pu;1,000;F19044-08-02-03-02-02-R2;Tabla 65
POSMAX1;pu;1,000;F19044-08-02-03-02-02-R2;Tabla 65
KP2;—;15,0;F19044-08-02-03-02-02-R2;Tabla 66
TVP2;s;0,015;F19044-08-02-03-02-02-R2;Tabla 66
KP1;—;2,5;F19044-08-02-03-02-02-R2;Tabla 66
TVP1;s;0,020;F19044-08-02-03-02-02-R2;Tabla 66
LIY2;pu;-1,000;F19044-08-02-03-02-02-R2;Tabla 66
LIY1;pu;-1,000;F19044-08-02-03-02-02-R2;Tabla 66
LSY2;pu;1,000;F19044-08-02-03-02-02-R2;Tabla 66
LSY1;pu;1,000;F19044-08-02-03-02-02-R2;Tabla 66
Array_YAYD(X=0,0000);pu;0,6300;F19044-08-02-03-02-02-R2;Tabla 67
Array_YAYD(X=0,0260);pu;0,6310;F19044-08-02-03-02-02-R2;Tabla 67
Array_YAYD(X=0,0510);pu;0,6320;F19044-08-02-03-02-02-R2;Tabla 67
Array_YAYD(X=0,1010);pu;0,6290;F19044-08-02-03-02-02-R2;Tabla 67
Array_YAYD(X=0,1540);pu;0,6300;F19044-08-02-03-02-02-R2;Tabla 67
Array_YAYD(X=0,2060);pu;0,6330;F19044-08-02-03-02-02-R2;Tabla 67
Array_YAYD(X=0,2530);pu;0,6430;F19044-08-02-03-02-02-R2;Tabla 67
Array_YAYD(X=0,3010);pu;0,6510;F19044-08-02-03-02-02-R2;Tabla 67
Array_YAYD(X=0,3520);pu;0,6780;F19044-08-02-03-02-02-R2;Tabla 67
Array_YAYD(X=0,4060);pu;0,7050;F19044-08-02-03-02-02-R2;Tabla 67
Array_YAYD(X=0,4570);pu;0,7330;F19044-08-02-03-02-02-R2;Tabla 67
Array_YAYD(X=0,5080);pu;0,7590;F19044-08-02-03-02-02-R2;Tabla 67
Array_YAYD(X=0,5580);pu;0,7800;F19044-08-02-03-02-02-R2;Tabla 67
Array_YAYD(X=0,6050);pu;0,8030;F19044-08-02-03-02-02-R2;Tabla 67
Array_YAYD(X=0,6510);pu;0,8290;F19044-08-02-03-02-02-R2;Tabla 67
Array_YAYD(X=0,7010);pu;0,8540;F19044-08-02-03-02-02-R2;Tabla 67
Array_YAYD(X=0,7530);pu;0,8810;F19044-08-02-03-02-02-R2;Tabla 67
Array_YAYD(X=0,8040);pu;0,9030;F19044-08-02-03-02-02-R2;Tabla 67
Array_YAYD(X=0,8510);pu;0,9320;F19044-08-02-03-02-02-R2;Tabla 67
Array_YAYD(X=0,9000);pu;0,9510;F19044-08-02-03-02-02-R2;Tabla 67
Array_YAYD(X=0,9500);pu;0,9780;F19044-08-02-03-02-02-R2;Tabla 67
Array_YAYD(X=0,9990);pu;1,0000;F19044-08-02-03-02-02-R2;Tabla 67
Pr;pu;1,00;F19044-08-02-03-02-02-R2;Tabla 68
Tw;s;0,80;F19044-08-02-03-02-02-R2;Tabla 68
beta;—;0,50;F19044-08-02-03-02-02-R2;Tabla 68
alpha;—;1,50;F19044-08-02-03-02-02-R2;Tabla 68
Ho;pu;1,000;F19044-08-02-03-02-02-R2;Tabla 68
Qo;pu;0,031;F19044-08-02-03-02-02-R2;Tabla 68
Fp;—;0,850;F19044-08-02-03-02-02-R2;Tabla 68
Damp;pu;0,000;F19044-08-02-03-02-02-R2;Tabla 68
TY;s;0,00001;F19044-08-02-03-02-02-R2;Tabla 68
Kfp;—;0,000;F19044-08-02-03-02-02-R2;Tabla 68
Gate_Min;pu;0,0001;F19044-08-02-03-02-02-R2;Tabla 68
Gate_Max;pu;1,000;F19044-08-02-03-02-02-R2;Tabla 68
Array_Px(X=0,000);pu;0,000;F19044-08-02-03-02-02-R2;Tabla 69
Array_Px(X=0,026);pu;0,035;F19044-08-02-03-02-02-R2;Tabla 69
Array_Px(X=0,051);pu;0,07;F19044-08-02-03-02-02-R2;Tabla 69
Array_Px(X=0,101);pu;0,141;F19044-08-02-03-02-02-R2;Tabla 69
Array_Px(X=0,154);pu;0,212;F19044-08-02-03-02-02-R2;Tabla 69
Array_Px(X=0,206);pu;0,28;F19044-08-02-03-02-02-R2;Tabla 69
Array_Px(X=0,253);pu;0,337;F19044-08-02-03-02-02-R2;Tabla 69
Array_Px(X=0,301);pu;0,394;F19044-08-02-03-02-02-R2;Tabla 69
Array_Px(X=0,352);pu;0,452;F19044-08-02-03-02-02-R2;Tabla 69
Array_Px(X=0,406);pu;0,507;F19044-08-02-03-02-02-R2;Tabla 69
Array_Px(X=0,457);pu;0,56;F19044-08-02-03-02-02-R2;Tabla 69
Array_Px(X=0,508);pu;0,61;F19044-08-02-03-02-02-R2;Tabla 69
Array_Px(X=0,558);pu;0,653;F19044-08-02-03-02-02-R2;Tabla 69
Array_Px(X=0,605);pu;0,694;F19044-08-02-03-02-02-R2;Tabla 69
Array_Px(X=0,651);pu;0,728;F19044-08-02-03-02-02-R2;Tabla 69
Array_Px(X=0,701);pu;0,763;F19044-08-02-03-02-02-R2;Tabla 69
Array_Px(X=0,753);pu;0,798;F19044-08-02-03-02-02-R2;Tabla 69
Array_Px(X=0,804);pu;0,829;F19044-08-02-03-02-02-R2;Tabla 69
Array_Px(X=0,851);pu;0,856;F19044-08-02-03-02-02-R2;Tabla 69
Array_Px(X=0,9);pu;0,88;F19044-08-02-03-02-02-R2;Tabla 69
Array_Px(X=0,95);pu;0,906;F19044-08-02-03-02-02-R2;Tabla 69
Array_YAYD_T70(X=0,0000);pu;0,6300;F19044-08-02-03-02-02-R2;Tabla 70
Array_YAYD_T70(X=0,0260);pu;0,6310;F19044-08-02-03-02-02-R2;Tabla 70
Array_YAYD_T70(X=0,0510);pu;0,6320;F19044-08-02-03-02-02-R2;Tabla 70
Array_YAYD_T70(X=0,1010);pu;0,6290;F19044-08-02-03-02-02-R2;Tabla 70
Array_YAYD_T70(X=0,1540);pu;0,6300;F19044-08-02-03-02-02-R2;Tabla 70
Array_YAYD_T70(X=0,2060);pu;0,6330;F19044-08-02-03-02-02-R2;Tabla 70
Array_YAYD_T70(X=0,2530);pu;0,6430;F19044-08-02-03-02-02-R2;Tabla 70
Array_YAYD_T70(X=0,3010);pu;0,6510;F19044-08-02-03-02-02-R2;Tabla 70
Array_YAYD_T70(X=0,3520);pu;0,6780;F19044-08-02-03-02-02-R2;Tabla 70
Array_YAYD_T70(X=0,4060);pu;0,7050;F19044-08-02-03-02-02-R2;Tabla 70
Array_YAYD_T70(X=0,4570);pu;0,7330;F19044-08-02-03-02-02-R2;Tabla 70
Array_YAYD_T70(X=0,5080);pu;0,7590;F19044-08-02-03-02-02-R2;Tabla 70
Array_YAYD_T70(X=0,5580);pu;0,7800;F19044-08-02-03-02-02-R2;Tabla 70
Array_YAYD_T70(X=0,6050);pu;0,8030;F19044-08-02-03-02-02-R2;Tabla 70
Array_YAYD_T70(X=0,6510);pu;0,8290;F19044-08-02-03-02-02-R2;Tabla 70
Array_YAYD_T70(X=0,7010);pu;0,8540;F19044-08-02-03-02-02-R2;Tabla 70
Array_YAYD_T70(X=0,7530);pu;0,8810;F19044-08-02-03-02-02-R2;Tabla 70
Array_YAYD_T70(X=0,8040);pu;0,9030;F19044-08-02-03-02-02-R2;Tabla 70
Array_YAYD_T70(X=0,8510);pu;0,9320;F19044-08-02-03-02-02-R2;Tabla 70
Array_YAYD_T70(X=0,9000);pu;0,9510;F19044-08-02-03-02-02-R2;Tabla 70
Array_YAYD_T70(X=0,9500);pu;0,9780;F19044-08-02-03-02-02-R2;Tabla 70
Array_YAYD_T70(X=0,9990);pu;1,0000;F19044-08-02-03-02-02-R2;Tabla 70
Tm;s;0,020;F19044-08-02-03-02-02-R2;Tabla 71
XC;pu;0,0;F19044-08-02-03-02-02-R2;Tabla 71
KPNL;pu/pu;30,00;F19044-08-02-03-02-02-R2;Tabla 71
